date,open,high,low,close,volume,fgi_value,fgi_sentiment,daily_return,volatility_7d,fgi_value_lag1,fgi_sentiment_lag1
2023-01-08,16954.146484375,17091.14453125,16924.05078125,17091.14453125,9768827914,25,Extreme Fear,0.8025112314249405,0.4817335231103749,25.0,Extreme Fear
2023-01-09,17093.9921875,17389.95703125,17093.9921875,17196.5546875,18624736866,25,Extreme Fear,0.6167530562816603,0.4886458580008077,25.0,Extreme Fear
2023-01-10,17192.94921875,17484.720703125,17162.990234375,17446.29296875,15808338949,26,Fear,1.4522576515372032,0.5659028321003524,25.0,Extreme Fear
2023-01-11,17446.359375,17934.896484375,17337.994140625,17934.896484375,18372283782,26,Fear,2.800615102017323,0.9956132761959569,26.0,Fear
2023-01-12,18117.59375,19030.087890625,17995.203125,18869.587890625,34971338710,30,Fear,5.211579598824612,1.7994528121878988,26.0,Fear
2023-01-13,18868.90625,19964.322265625,18753.1640625,19909.57421875,29225029694,31,Fear,5.511441660269112,2.237098209785686,30.0,Fear
2023-01-14,19910.537109375,21075.142578125,19907.828125,20976.298828125,38967784639,46,Fear,5.357847423830919,2.221896678111857,31.0,Fear
2023-01-15,20977.484375,20993.748046875,20606.986328125,20880.798828125,19298407543,52,Neutral,-0.4552757413617381,2.475733042296152,46.0,Fear
2023-01-16,20882.224609375,21360.875,20715.74609375,21169.6328125,26792494050,45,Fear,1.3832516023570829,2.3712215353766153,52.0,Neutral
2023-01-17,21175.833984375,21438.66015625,20978.533203125,21161.51953125,24999983362,51,Neutral,-0.03832509199314105,2.5937783733579636,45.0,Fear
2023-01-18,21161.05078125,21564.501953125,20541.544921875,20688.78125,30005625418,52,Neutral,-2.2339524368838015,3.223144968334388,51.0,Neutral
2023-01-19,20686.74609375,21163.01171875,20685.380859375,21086.79296875,21152848261,45,Fear,1.9238045679950355,2.920366377241331,52.0,Neutral
2023-01-20,21085.373046875,22692.357421875,20919.126953125,22676.552734375,28799154319,51,Neutral,7.539125404137925,3.425725746150054,45.0,Fear
2023-01-21,22677.427734375,23282.34765625,22511.833984375,22777.625,32442278429,53,Neutral,0.4457126566322689,3.0922616416245226,51.0,Neutral
2023-01-22,22777.986328125,23056.73046875,22387.900390625,22720.416015625,24746386230,53,Neutral,-0.2511630794474806,3.0747057618914932,53.0,Neutral
2023-01-23,22721.087890625,23126.486328125,22654.3046875,22934.431640625,26518700512,50,Neutral,0.9419529327844067,3.076105119178834,53.0,Neutral
2023-01-24,22929.626953125,23134.01171875,22549.744140625,22636.46875,26405069715,52,Neutral,-1.2991945703908492,3.1946232239821932,50.0,Neutral
2023-01-25,22639.267578125,23722.099609375,22406.076171875,23117.859375,30685366709,51,Neutral,2.1266153759075257,2.8648900811506737,52.0,Neutral
2023-01-26,23108.955078125,23237.078125,22911.373046875,23032.77734375,26357839322,54,Neutral,-0.3680359408276712,2.955561746986457,51.0,Neutral
2023-01-27,23030.716796875,23417.720703125,22654.59375,23078.728515625,25383335641,55,Greed,0.19950339114214177,1.0858314650824243,54.0,Neutral
2023-01-28,23079.96484375,23165.896484375,22908.845703125,23031.08984375,14712928379,52,Neutral,-0.20641809553220147,1.094828578797318,55.0,Greed
2023-01-29,23031.44921875,23919.890625,22985.0703125,23774.56640625,27423687259,55,Greed,3.2281432079158012,1.5643878150889616,52.0,Neutral
2023-01-30,23774.6484375,23789.34765625,22657.58203125,22840.138671875,27205595568,61,Greed,-3.9303670923283462,2.3197716496124072,55.0,Greed
2023-01-31,22840.796875,23225.021484375,22765.568359375,23139.283203125,22837828665,51,Neutral,1.3097316769725253,2.292354876396795,61.0,Greed
2023-02-01,23137.8359375,23764.5390625,22877.75,23723.76953125,26683255504,56,Greed,2.525948288865165,2.3485923458429085,51.0,Neutral
2023-02-02,23720.82421875,24167.2109375,23468.595703125,23471.87109375,32066936882,60,Greed,-1.061797692681965,2.4001842451927184,56.0,Greed
2023-02-03,23469.412109375,23678.103515625,23279.955078125,23449.322265625,27083066007,60,Greed,-0.09606745041729203,2.404739024819934,60.0,Greed
2023-02-04,23446.3203125,23556.94921875,23291.794921875,23331.84765625,15639298538,58,Greed,-0.5009723012217249,2.416660214075667,60.0,Greed
2023-02-05,23332.248046875,23423.435546875,22841.759765625,22955.666015625,19564262605,58,Greed,-1.612309690031044,2.0781542543585605,58.0,Greed
2023-02-06,22954.021484375,23119.279296875,22692.025390625,22760.109375,23825006542,56,Greed,-0.8518883333286542,1.4604159490430466,58.0,Greed
2023-02-07,22757.267578125,23310.974609375,22756.2578125,23264.291015625,27187964471,54,Neutral,2.2151986720186922,1.6302255705704765,56.0,Greed
2023-02-08,23263.416015625,23367.958984375,22731.09765625,22939.3984375,25371367758,58,Greed,-1.3965290320121615,1.2916680394073512,54.0,Neutral
2023-02-09,22946.56640625,22996.4375,21773.974609375,21819.0390625,32572572185,55,Greed,-4.883996317743455,2.1229248583367,58.0,Greed
2023-02-10,21819.005859375,21941.185546875,21539.392578125,21651.18359375,27078406594,48,Neutral,-0.7693073387383564,2.0891740507350716,55.0,Greed
2023-02-11,21651.841796875,21891.41015625,21618.44921875,21870.875,16356226232,49,Neutral,1.0146854341645195,2.2366640081365663,48.0,Neutral
2023-02-12,21870.90234375,22060.994140625,21682.828125,21788.203125,17821046406,50,Neutral,-0.3779998514005456,2.219529142621701,49.0,Neutral
2023-02-13,21787.0,21898.4140625,21460.087890625,21808.1015625,23918742607,48,Neutral,0.09132665684197239,2.2388342021802403,50.0,Neutral
2023-02-14,21801.822265625,22293.140625,21632.39453125,22220.8046875,26792596581,50,Neutral,1.8924303145655852,2.173893026417199,48.0,Neutral
2023-02-15,22220.5859375,24307.841796875,22082.76953125,24307.841796875,32483312909,53,Neutral,9.392266116037785,4.313633173210051,50.0,Neutral
2023-02-16,24307.349609375,25134.1171875,23602.5234375,23623.474609375,39316664596,62,Greed,-2.8154173176657027,3.901877779030283,53.0,Neutral
2023-02-17,23621.283203125,24924.041015625,23460.755859375,24565.6015625,41358451255,61,Greed,3.9880964536483487,3.91518207396672,62.0,Greed
2023-02-18,24565.296875,24798.8359375,24468.373046875,24641.27734375,19625427158,60,Greed,0.30805588480080637,3.950272912480781,61.0,Greed
2023-02-19,24640.02734375,25093.0546875,24327.642578125,24327.642578125,25555105670,60,Greed,-1.2728023845912761,4.04518210512573,60.0,Greed
2023-02-20,24336.623046875,25020.458984375,23927.91015625,24829.1484375,28987376573,58,Greed,2.0614650916729094,3.986377318247956,60.0,Greed
2023-02-21,24833.048828125,25126.8515625,24200.36328125,24436.353515625,31252098714,60,Greed,-1.5819911136450981,4.203156588772747,58.0,Greed
2023-02-22,24437.41796875,24472.33984375,23644.318359375,24188.84375,30199996781,59,Greed,-1.012875204423358,2.3561808749591644,60.0,Greed
2023-02-23,24190.71875,24572.08984375,23693.919921875,23947.4921875,30476264066,56,Greed,-0.997780485063493,2.0846891486781867,59.0,Greed
2023-02-24,23946.0078125,24103.705078125,23007.072265625,23198.126953125,26811744928,53,Neutral,-3.1292012896705357,1.620717121061741,56.0,Greed
2023-02-25,23200.125,23210.2109375,22861.55859375,23175.375,16100721565,52,Neutral,-0.09807668166905703,1.5810741636545096,53.0,Neutral
2023-02-26,23174.150390625,23654.3671875,23084.220703125,23561.212890625,16644534842,51,Neutral,1.6648614774302573,1.82482450905711,52.0,Neutral
2023-02-27,23561.451171875,23857.890625,23205.87890625,23522.87109375,22660763494,50,Neutral,-0.16273269569350157,1.4767132859211687,51.0,Neutral
2023-02-28,23521.837890625,23585.384765625,23077.650390625,23147.353515625,20535363434,53,Neutral,-1.596393470118429,1.4780593614425743,50.0,Neutral
2023-03-01,23150.9296875,23880.6328125,23088.626953125,23646.55078125,24662841200,50,Neutral,2.156606219747892,1.8315094748952918,53.0,Neutral
2023-03-02,23647.01953125,23739.138671875,23245.021484375,23475.466796875,20386398516,51,Neutral,-0.7235050302163204,1.8171951235524888,50.0,Neutral
2023-03-03,23476.6328125,23479.34765625,22213.23828125,22362.6796875,26062404610,50,Neutral,-4.740212916759257,2.282210627447668,51.0,Neutral
2023-03-04,22362.923828125,22405.177734375,22198.98046875,22353.349609375,11166012913,50,Neutral,-0.04172164631153219,2.283963159340879,50.0,Neutral
2023-03-05,22354.14453125,22613.685546875,22307.142578125,22435.513671875,13317001733,47,Neutral,0.36756935285233716,2.1270341162449196,50.0,Neutral
2023-03-06,22436.81640625,22584.29296875,22331.314453125,22429.7578125,17353192895,48,Neutral,-0.025655126328649747,2.1331820596634294,47.0,Neutral
2023-03-07,22428.322265625,22527.41796875,22011.26171875,22219.76953125,22765452204,49,Neutral,-0.9362039617430651,2.099080676392596,48.0,Neutral
2023-03-08,22216.44140625,22268.896484375,21708.05078125,21718.080078125,22536575684,50,Neutral,-2.257851740628636,1.7854273465042125,49.0,Neutral
2023-03-09,21720.080078125,21802.716796875,20210.306640625,20363.021484375,30364664171,44,Fear,-6.239311158608585,2.582462060921096,50.0,Neutral
2023-03-10,20367.001953125,20370.595703125,19628.25390625,20187.244140625,39578257695,34,Fear,-0.8632183779056501,2.2916740132404985,44.0,Fear
2023-03-11,20187.876953125,20792.525390625,20068.66015625,20632.41015625,30180288176,33,Fear,2.2051846825845045,2.6478893221327366,34.0,Fear
2023-03-12,20628.029296875,22185.03125,20448.806640625,22163.94921875,29279035521,33,Fear,7.4229770099644155,4.194118633264926,33.0,Fear
2023-03-13,22156.40625,24550.837890625,21918.19921875,24197.533203125,49466362688,49,Neutral,9.175187888693825,5.468975516698818,33.0,Fear
2023-03-14,24201.765625,26514.716796875,24081.18359375,24746.07421875,54622230164,56,Greed,2.2669294883089997,5.392428306897305,49.0,Neutral
2023-03-15,24770.92578125,25240.615234375,23964.91015625,24375.9609375,43655701450,50,Neutral,-1.4956444322371198,5.306845518603562,56.0,Greed
2023-03-16,24373.45703125,25190.326171875,24225.111328125,25052.7890625,33866061747,52,Neutral,2.7766213062754286,3.95844965828788,50.0,Neutral
2023-03-17,25055.123046875,27787.8125,24955.169921875,27423.9296875,50730261335,51,Neutral,9.464577453171529,4.167423726756685,52.0,Neutral
2023-03-18,27448.1171875,27725.953125,26636.26171875,26965.87890625,35723036817,64,Greed,-1.6702594648891012,4.747184768413097,51.0,Neutral
2023-03-19,26969.50390625,28440.560546875,26907.716796875,28038.67578125,37769448859,63,Greed,3.9783493752593824,4.504526300925009,64.0,Greed
2023-03-20,28041.6015625,28527.724609375,27242.880859375,27767.236328125,44774027664,66,Greed,-0.9680894177838351,3.9747183301834985,63.0,Greed
2023-03-21,27768.392578125,28439.5625,27439.646484375,28175.81640625,36102192830,68,Greed,1.4714466837708162,3.9788638665981493,66.0,Greed
2023-03-22,28158.720703125,28803.3359375,26759.99609375,27307.4375,33382021890,62,Greed,-3.0820008681536337,4.243329241325321,68.0,Greed
2023-03-23,27301.95703125,28729.84375,27183.36328125,28333.97265625,24220433689,57,Greed,3.7591779025402783,4.300356758381551,62.0,Greed
2023-03-24,28324.111328125,28388.4375,27039.265625,27493.28515625,25980310960,61,Greed,-2.967065403073854,3.003169085682969,57.0,Greed
2023-03-25,27487.337890625,27791.826171875,27196.234375,27494.70703125,13383005987,64,Greed,0.00517171735541222,2.90613517875715,61.0,Greed
2023-03-26,27495.5234375,28178.14453125,27445.046875,27994.330078125,13878363192,64,Greed,1.8171608313816145,2.5442056570410467,64.0,Greed
2023-03-27,27994.068359375,28037.92578125,26606.689453125,27139.888671875,18188895178,64,Greed,-3.052194511765327,2.7873944792778302,64.0,Greed
2023-03-28,27132.888671875,27460.71875,26677.818359375,27268.130859375,17783600385,59,Greed,0.4725228944394866,2.7064238654954464,64.0,Greed
2023-03-29,27267.03125,28619.54296875,27259.662109375,28348.44140625,20684945906,57,Greed,3.9618063755315402,2.863280975248283,59.0,Greed
2023-03-30,28350.140625,29159.90234375,27720.16015625,28033.5625,22435349951,60,Greed,-1.11074503792854,2.5319771485311557,57.0,Greed
2023-03-31,28032.26171875,28639.896484375,27583.71484375,28478.484375,19001327598,63,Greed,1.5871042968584437,2.2492345386365966,60.0,Greed
2023-04-01,28473.33203125,28802.45703125,28297.171875,28411.03515625,10876469901,61,Greed,-0.23684272611504964,2.2604038931026347,63.0,Greed
2023-04-02,28462.845703125,28518.958984375,27884.087890625,28199.30859375,12284641999,63,Greed,-0.745226498561502,2.216959595631063,61.0,Greed
2023-04-03,28183.080078125,28475.623046875,27276.720703125,27790.220703125,19556501327,63,Greed,-1.450701847050495,1.8934396183848556,63.0,Greed
2023-04-04,27795.2734375,28433.7421875,27681.3046875,28168.08984375,15284538859,62,Greed,1.35971982612757,1.9319973111284647,63.0,Greed
2023-04-05,28169.7265625,28739.23828125,27843.763671875,28177.984375,17052315986,62,Greed,0.0351267384649967,1.1742847860225039,62.0,Greed
2023-04-06,28175.2265625,28178.384765625,27738.759765625,28044.140625,13837809380,63,Greed,-0.4749940528704033,1.1037661237135288,62.0,Greed
2023-04-07,28038.966796875,28111.59375,27794.03125,27925.859375,10861680497,64,Greed,-0.4217681389550476,0.8597341040217065,63.0,Greed
2023-04-08,27920.513671875,28159.86328125,27883.38671875,27947.794921875,9373255556,61,Greed,0.07854922772632111,0.8703505085577073,64.0,Greed
2023-04-09,27952.3671875,28532.830078125,27828.48046875,28333.05078125,12175322951,61,Greed,1.3784839213681899,1.0188355670769196,61.0,Greed
2023-04-10,28336.02734375,29771.46484375,28189.271484375,29652.98046875,19282400094,62,Greed,4.658621825410658,1.8080344865847782,61.0,Greed
2023-04-11,29653.6796875,30509.083984375,29609.30078125,30235.05859375,20121259843,68,Greed,1.9629666758571807,1.8451028177392188,62.0,Greed
2023-04-12,30231.58203125,30462.48046875,29725.57421875,30139.052734375,18651929926,65,Greed,-0.3175315803583212,1.8812864431096998,68.0,Greed
2023-04-13,29892.740234375,30539.845703125,29878.623046875,30399.06640625,17487721001,61,Greed,0.8627134839524819,1.773644507982888,65.0,Greed
2023-04-14,30409.5625,31005.607421875,30044.498046875,30485.69921875,22659995079,68,Greed,0.2849851088919886,1.6857553758571826,61.0,Greed
2023-04-15,30490.75,30601.740234375,30245.8828125,30318.49609375,11940685378,68,Greed,-0.5484641300179338,1.7741235498392773,68.0,Greed
2023-04-16,30315.9765625,30555.537109375,30157.83203125,30315.35546875,12854816417,68,Greed,-0.010358775680330279,1.8255469597091458,68.0,Greed
2023-04-17,30317.146484375,30319.197265625,29275.37109375,29445.044921875,17872186762,69,Greed,-2.8708571396173888,1.486854173448563,68.0,Greed
2023-04-18,29449.091796875,30470.302734375,29154.849609375,30397.552734375,19480529496,58,Greed,3.2348662229154,1.8200618170173815,69.0,Greed
2023-04-19,30394.1875,30411.0546875,28669.8984375,28822.6796875,24571565421,63,Greed,-5.18092051895368,2.711726808678001,58.0,Greed
2023-04-20,28823.68359375,29076.400390625,28037.2578125,28245.98828125,21340360360,52,Neutral,-2.0008250880993006,2.6692448604738486,63.0,Greed
2023-04-21,28249.23046875,28349.96875,27177.365234375,27276.91015625,20759504330,50,Neutral,-3.4308522518338824,2.736705766426041,52.0,Neutral
2023-04-22,27265.89453125,27872.142578125,27169.5703125,27817.5,13125734602,53,Neutral,1.9818587979846258,3.0403636364408686,50.0,Neutral
2023-04-23,27816.14453125,27820.244140625,27400.314453125,27591.384765625,12785446832,56,Greed,-0.8128524647254443,3.0037111863976125,53.0,Neutral
2023-04-24,27591.73046875,27979.982421875,27070.849609375,27525.33984375,17703288330,53,Neutral,-0.2393679129772508,2.9378686905999882,56.0,Greed
2023-04-25,27514.873046875,28371.078125,27207.931640625,28307.59765625,17733373139,53,Neutral,2.841955147295372,2.84759738356318,53.0,Neutral
2023-04-26,28300.05859375,29995.837890625,27324.548828125,28422.701171875,31854242019,56,Greed,0.4066170397882152,2.1770557711547496,53.0,Neutral
2023-04-27,28428.46484375,29871.546875,28402.88671875,29473.787109375,27153445027,59,Greed,3.6980508331842854,2.4327991197982617,56.0,Greed
2023-04-28,29481.013671875,29572.791015625,28929.609375,29340.26171875,17544464887,64,Greed,-0.453030993708059,1.7746644709423733,59.0,Greed
2023-04-29,29336.56640625,29452.455078125,29088.04296875,29248.48828125,10662634333,64,Greed,-0.31279011203009244,1.7879806549644321,64.0,Greed
2023-04-30,29245.515625,29952.029296875,29114.021484375,29268.806640625,14652199272,60,Greed,0.0694680667924441,1.6892434502085267,64.0,Greed
2023-05-01,29227.103515625,29329.935546875,27680.79296875,28091.568359375,18655599976,63,Greed,-4.022160164248023,2.5064612802431254,60.0,Greed
2023-05-02,28087.17578125,28881.298828125,27924.123046875,28680.537109375,16432924527,55,Greed,2.0966033026897257,2.3947252495369664,63.0,Greed
2023-05-03,28680.494140625,29259.533203125,28178.388671875,29006.30859375,19122972518,64,Greed,1.135862564681589,2.4203370241830124,55.0,Greed
2023-05-04,29031.3046875,29353.185546875,28694.0390625,28847.7109375,15548678514,64,Greed,-0.5467695268338013,1.909634524846253,64.0,Greed
2023-05-05,28851.48046875,29668.908203125,28845.509765625,29534.384765625,17936566518,61,Greed,2.3803407820215394,2.1540577495114706,64.0,Greed
2023-05-06,29538.859375,29820.126953125,28468.966796875,28904.623046875,15913866714,60,Greed,-2.1323001096775096,2.317753440885688,61.0,Greed
2023-05-07,28901.623046875,29157.517578125,28441.3671875,28454.978515625,11301355486,64,Greed,-1.5556145829018653,2.3733456036671936,60.0,Greed
2023-05-08,28450.45703125,28663.271484375,27310.134765625,27694.2734375,19122903752,60,Greed,-2.6733637409259936,2.0625533615287015,64.0,Greed
2023-05-09,27695.068359375,27821.400390625,27375.6015625,27658.775390625,14128593256,51,Neutral,-0.12817829272578907,1.8080849258252103,60.0,Greed
2023-05-10,27654.63671875,28322.6875,26883.669921875,27621.755859375,20656025026,52,Neutral,-0.13384371045779275,1.675086027626806,51.0,Neutral
2023-05-11,27621.0859375,27621.94140625,26781.826171875,27000.7890625,16724343943,52,Neutral,-2.2481076150133283,1.7724151014859901,52.0,Neutral
2023-05-12,26987.662109375,27055.646484375,25878.4296875,26804.990234375,19313599897,49,Neutral,-0.7251596524522896,1.0465340169544881,52.0,Neutral
2023-05-13,26807.76953125,27030.482421875,26710.873046875,26784.078125,9999171605,48,Neutral,-0.07801573211611013,1.0847817164878653,49.0,Neutral
2023-05-14,26788.974609375,27150.9765625,26661.35546875,26930.638671875,10014858959,48,Neutral,0.5471927993601522,1.2137905941963258,48.0,Neutral
2023-05-15,26931.384765625,27646.34765625,26766.09765625,27192.693359375,14413231792,50,Neutral,0.9730726801279843,1.0333828468054902,48.0,Neutral
2023-05-16,27171.513671875,27299.3046875,26878.947265625,27036.650390625,12732238816,54,Neutral,-0.5738415341494774,1.037903291938375,50.0,Neutral
2023-05-17,27035.470703125,27465.927734375,26600.14453125,27398.802734375,15140006925,50,Neutral,1.3394867282656264,1.216008158938356,54.0,Neutral
2023-05-18,27401.650390625,27466.52734375,26415.1015625,26832.208984375,15222938600,51,Neutral,-2.067950762275983,1.1639907807508627,50.0,Neutral
2023-05-19,26826.75390625,27128.619140625,26700.2109375,26890.12890625,11258983301,48,Neutral,0.21585968530852817,1.1314317048782472,51.0,Neutral
2023-05-20,26888.841796875,27155.158203125,26843.27734375,27129.5859375,7044911360,48,Neutral,0.8905016115201336,1.1715567574103842,48.0,Neutral
